drink water; head tilts back slightly; hand reaches for cup; arm extends and flexes; hip remains stationary; leg remains stationary; foot remains stationary.
tennis bat swing; head is looking forward; hand right hand is holding the tennis bat; arm right arm is holding the bat in front of the body; hip is standing still; leg is standing still; foot is standing still.
juggle table tennis ball; head tilts slightly to the left; hand moves quickly to the left to catch the ball; arm extends to the left to catch the ball; hip remains stationary; leg remains stationary; foot remains stationary
hush; head he lowers head; hand he raises index finger to lips; arm is bent at the elbow; hip is not involved in the action; leg is not involved in the action; foot is not involved in the action.
flick hair; head tilt slightly; hand brush hair; arm move hand; hip stay still; leg stay still; foot stay still.
thumb up; head doesn't move; hand moves up slightly; arm bends at elbow; hip doesn't move; leg doesn't move; foot doesn't move.
thumb down; head remains stationary; hand extends arm forward with thumb pointing down; arm extends from shoulder; hip remains stationary; leg remains stationary; foot remains stationary.
make OK sign; head remains neutral; hand forms a circle with the thumb and first two fingers; arm extends straight out from the shoulder; hip remains at a neutral position; leg remains at a neutral position; foot remains at a neutral position.
make victory sign; head remains neutral; hand moves slightly forward and upward; arm extends fully; hip remains stationary; leg remains stationary; foot remains stationary.
staple book; head looks down slightly; hand holds the stapler; arm extends and stabilizes the stapler; hip keeps the body stable; leg keeps the body stable; foot keeps the body stable.
counting money; head looking down slightly; hand holding a bill; arm holding hand; hip keeping body upright; leg keeping body balanced; foot keeping body stable.
cutting nails; head looking down at hands; hand holding a nail clipper; arm keeping the hand steady; hip keeping the body steady; leg keeping the body steady; foot keeping the body steady.
cutting paper; head looking down at the paper; hand holding the scissors; arm holding the scissors vertically; hip staying in place; leg staying in place; foot staying in place.
snap fingers; head remains stationary; hand moves quickly to meet the other hand in the middle and create a snapping sound; arm remains at the side; hip remains stationary; leg remains stationary; foot remains stationary.
open bottle; head tilts slightly to the side; hand reaches for the bottle cap; arm extends the arm holding the bottle; hip remains stationary; leg remains stationary; foot remains stationary.
sniff/smell; head tilts slightly forward; hand brings object close to nose; arm supports hand; hip remains stationary; leg remains stationary; foot remains stationary.
Squat down; head remains upright; hand holds object or support; arm hangs loosely at sides; hip starts to bend; leg begins to bend at knees; foot remains flat on ground.
toss a coin; head remains still; hand opens and closes to hold the coin; arm holds the coin in front of the body; hip remains stationary; leg remains stationary; foot remains stationary.
fold paper; head looks down slightly at the paper; hand reaches for the paper with fingers extended; arm is slightly bent at the elbow; hip is relaxed; leg is relaxed; foot is planted on the ground.
ball up paper; head remains stationary; hand moves towards paper; arm extends straight; hip remains stationary; leg remains stationary; foot remains stationary
play magic cube; head is looking at the cube in hand; hand is holding the cube in hand; arm is holding the cube out in front of the body; hip is slightly bending; leg is standing still; foot is standing still.
apply cream on face; head tilts forward; hand reaches up; arm flexes; hip stays stationary; leg stays stationary; foot stays stationary.
apply cream on hand; head none; hand picks up cream from container; arm flexes to bring hand towards hand; hip none; leg none; foot none.
put on bag; head looks down at bag; hand reaches out; arm extends forward; hip remains still; leg remains still; foot remains still.
take off bag; head looks down at the bag; hand reaches down and grabs the bag's handles; arm lifts the bag off the ground; hip shifts the bag's weight to other hand; leg stands still; foot stands still.
put object into bag; head looking down; hand reaching for object; arm extending; hip slightly bending; leg keeping body stable; foot keeping body stable.
take object out of bag; head is tilted slightly forward as he looks down into the bag; hand reaches into the bag and grasps the object; arm bends at the elbow; hip is stable; leg is slightly bent; foot is planted firmly on the ground.
open a box; head tilts slightly forward; hand reaches out and grasps the edge of the lid; arm extends forward; hip remains stationary; leg remains stationary; foot remains stationary.
move heavy objects; head turns to look at the object; hand reaches out and grasps the object; arm pulls the object towards the body; hip moves forward to create leverage; leg pushes against the ground to create power; foot stabilizes the body.
shake fist; head stay still; hand curl into a fist; arm flex at the elbow and lift up; hip stay in place; leg stay in place; foot stay in place.
throw up cap/hat; head is tilted back and eyes are closed; hand is reaching up to grab the hat; arm is extended straight up; hip is not involved in the action; leg is not involved in the action; foot is not involved in the action.
capitulate; head drops slightly in defeat; hand raises in the air; arm hangs limply at side; hip sags; leg buckles; foot drags.
cross arms; head remains still; right hand moves to the opposite shoulder, left hand moves to the other shoulder; right arm bends at the elbow, left arm also bends at the elbow; hip remains at a neutral position; leg both legs remain straight; foot both feet remain flat on the ground.
arm circles; head remains stationary; hand holds the arm; arm moves in a circular motion; hip remains stationary; leg remains stationary; foot remains stationary.
arm swings; head remains stationary; hand holds the arm; arm swings forward and backward; hip remains stationary; leg remains stationary; foot remains stationary.
run on the spot; head nodding up and down; hand swinging back and forth; arm pumping back and forth; hip thrusting back and forth; leg kicking back and forth; foot stomping back and forth.
butt kicks; head remains neutral; hand holds onto a support; arm remains relaxed; hip begins to rotate; leg lifts off the ground; foot flexes at ankle.
cross toe touch; head remains neutral; hand reaches out and down to touch the opposite foot's toes; arm extends out and down; hip remains stationary; leg lifts up and bends at the knee to prepare for the movement; foot remains stationary.
side kick; head remains neutral; hand holds the balance; arm relaxes by the side; hip starts to rotate; leg lifts the knee up; foot flexes the ankle.
yawn; head tilts back; hand comes to mouth; arm supports head; hip doesn't move; leg doesn't move; foot doesn't move.
stretch oneself; tilts head back; raises hands to crown of head; extends arms overhead; lifts hips; straightens legs; foot points toes.
blow nose; head tilts forward slightly; hand brings tissue to nose; arm supports head; hip doesn't move; leg doesn't move; foot doesn't move.
hit with object; head slightly tilt; hand grip object; arm lift; hip stabilize; leg stand; foot planted.
wield knife; turns head to look at the knife; grasps it in hand; arm raises it up; hip remains still; leg stands firm; foot planted on the ground.
knock over; head tilt slightly to the side; hand holds object; arm extended holding object; hip stable; leg stable; foot stable.
grab stuff; head remains neutral; hand moves slightly towards the object; arm extends slightly; hip remains stationary; leg remains stationary; foot remains stationary.
shoot with gun; head tilts slightly forward; hand grips gun with fingers; arm holds gun with elbow slightly bent; hip stands with feet shoulder-width apart; leg stands with knees slightly bent; foot stands flat on ground.
step on foot; head is forward; hands are relaxed; arms are at sides; hips are level; legs are bent; foot is raised.
high-five; head remains still; hand lifts slightly off the body; arm extends up and out to the side; hip remains stationary; leg remains stationary; foot remains stationary.
cheers and drink; head tilts back slightly; hand raises glass; arm holds glass vertically; hip remains stationary; leg remains stationary; foot remains stationary.
carry object; head looks down; hand reaches out; arm extends forward; hip stabilizes; leg stands still; foot stands still.
take a photo; head tilts slightly to the left; hand holds the camera up to the right eye; arm extends straight out to the right; hip remains neutral; leg remains stationary; foot remains stationary
follow; turns head; extends arm; moves hip; straightens leg; lifts foot.
whisper; head leans slightly towards the person being spoken to; hand moves to mouth to form an 'o' shape; arm extends slightly to bring hand closer to mouth; hip remains neutral; leg remains still; foot remains still.
exchange things; looks down at the object to be exchanged; extends hand to grasp the object; holds arm straight out in front of the body; slightly tilts hip to maintain balance; stands still on both feet; stands still on both feet.
support somebody; head turns slightly towards the person being supported; hand reaches out to grasp the person's arm; arm extends from the body to reach the person; hip shifts slightly to maintain balance; leg stands upright; foot stands flat on the ground.
rock-paper-scissors; tilts head slightly; extends hand forward; flexes arm at the elbow; shifts hip slightly to the right; stands still on leg; stands still on foot.
