drink water; head returns to normal; hand releases cup; arm lowers cup; hip returns to neutral; leg lowers to floor; foot returns to neutral.
throw up cap/hat; head is still back; hand is releasing hat; arm is fully extended; hip is rotating fully; leg is fully lifted; foot is in mid-air.
capitulate; head drops to ground; hand lies still; arm sags limp; hip lies flat; leg extends straight; foot relaxes.
cross arms; head returns to neutral; hand releases hand; arm returns to sides; hip remains still; leg remains still; foot remains still.
arm circles; head moves in sync; hand releases and regrasps quickly; arm swings in a wide arc; hip sways with rhythm; leg sways with rhythm; foot taps in rhythm and releases.
arm swings to full extent; head turns to track arm; hand holds elbow; arm returns to starting position; hip rotates fully; leg returns to neutral; foot lands softly.
run on the spot; head nodding rapidly; hands pumping wildly; arms swinging freely; hips rotating rapidly; legs lifting high; feet stomping vigorously.
butt kicks; head looks forward; hand stabilizes; arm cools; hip extends leg; leg extends and then flexes; foot makes contact with target, then returns to ground.
cross toe touch; head looks forward; hand releases toe; arm returns to side; hip rotates fully; leg returns to starting position; foot releases toe
side kick; head turns fully; hand transfers weight fully; arm relaxes; hip extends fully; leg extends out fully; foot makes contact
yawn; head returns to neutral; hand returns to relaxed position; arm returns to relaxed position; hip returns to neutral; leg relaxes and bends; foot returns to relaxed position.
stretch oneself; tilts head back; raises hands; stretches arms; leans forward; straightens legs; foot points toes.
blow nose; head returns to normal; hand drops tissue; arm relaxes; hip returns to neutral; leg relaxes; foot remains still.
hit with object; head jerk; hand adjust; arm relax; hip stabilize; leg stand; foot firm
wield knife; eyes follow knife's impact; hand releases grip; arm drops; hip returns to neutral; leg lands softly; foot settles back down.
knock over; head returns forward; hand follows through; arm returns to side; hip returns to neutral; leg straightens; foot planted firmly.
grab stuff; head maintains focus; hand holds object firmly; arm pulls object towards body; hip shifts forward fully; leg straightens; foot returns to ground.
shoot with gun; head follows through with shot; hand releases grip on gun; arm lowers slowly; hip returns to neutral position; leg straightens knees; foot stays planted on ground
step on foot; head is steady; hands are released; arms are relaxed; hips are level; legs are straight; feet are planted.
high-five; head returns to normal; hand returns to side; arm returns to side; hip returns to normal; leg returns to normal; foot remains stationary
cheers and drink; head returns to normal; hand removes glass from lips; arm lowers glass; hip returns to neutral; leg lowers slowly; foot touches ground.
carry object; head looks ahead; hand holds steady; arm holds steady; hip rotates fully; leg stops moving; foot stands still.
take a photo; head returns to neutral; hand releases camera grip; arm relaxes to the side; hip returns to neutral; leg returns to standing position; foot returns to the ground
follow; turns head; waves hand; swings arm; rotates hip; takes final step; lands foot.
whisper; head is close to listener; hand touches mouth; arm is extended; hip is forward; leg is forward; foot is on ground.
exchange things; smiles and nods; releases hand; lowers arm to side; sways hips to a stop; stands still; stands still on both feet
support somebody; head maintains position; hand holds firm; arm maintains support; hip stands upright; leg stands upright; foot stands firm.
rock-paper-scissors; looks up slightly; slaps hand down; extends arm; rotates hip fully; shifts weight back to both legs; stamps foot.
